Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20,Existing 21,Existing 22,Existing 23,Existing 24,Existing 25,Existing 26,Existing 27,Existing 28,Existing 29,Existing 30
FLAUPAR30C,11W PAR30 Cool White E27,R 204.62,10.00%,20.00%,30.00%,R 386.10,,,Spotlight,Hours Per Year,Yes,0.011,0.011,Aurora,Par 30,Spotlight,Surfaced,R 0.61,,,Retro,12,5,10,,E27,750,4000,CW,36,,,,,,E27 - 20W - CFL,E27 - 80W - Hal,E27 - 120W - Hal,E27 - 100W - R80,E27 - 23W - CFL,E27 - 32W - CFL,,,,,,,,,,,,,,,,,,,,,,,,
FLAUPAR38C,16W PAR38 Cool White E27,R 306.26,10.00%,20.00%,30.00%,R 530.10,,,Spotlight,Hours Per Year,Yes,0.016,0.016,Aurora,Par 38,Spotlight,Surfaced,R 0.92,,,Retro,12,10,15,,E27,1100,4000,CW,36,,,,,,E27 - 20W - CFL,E27 - 80W - Hal,E27 - 120W - Hal,E27 - 150W - Hal,E27 - 100W - R80,E27 - 23W - CFL,E27 - 32W - CFL,,,,,,,,,,,,,,,,,,,,,,,
FLAUPAR38W,16W PAR38 Warm White E27,R 251.00,10.00%,20.00%,30.00%,R 389.00,,,Spotlight,Hours Per Year,Yes,0.016,0.016,Aurora,Par 38,Spotlight,Surfaced,R 0.75,,,Retro,12,10,15,,E27,950,3000,WW,36,,,,,,E27 - 20W - CFL,E27 - 80W - Hal,E27 - 120W - Hal,E27 - 150W - Hal,E27 - 100W - R80,E27 - 23W - CFL,E27 - 32W - CFL,,,,,,,,,,,,,,,,,,,,,,,
FLAUPAR30W,11W PAR30 Warm White E27,R 333.54,10.00%,20.00%,30.00%,R 530.10,,,Spotlight,Hours Per Year,Yes,0.011,0.011,Aurora,Par 30,Spotlight,Surfaced,R 1.00,,,Retro,12,10,15,,E27,650,3000,WW,36,,,,,,E27 - 20W - CFL,E27 - 80W - Hal,E27 - 120W - Hal,E27 - 150W - Hal,E27 - 100W - R80,E27 - 23W - CFL,E27 - 32W - CFL,,,,,,,,,,,,,,,,,,,,,,,
FLED10W,10W LED Floodlight,R 203.01,10.00%,20.00%,30.00%,R 224.96,,,Floodlight,Hours Per Year,Yes,0.01,0.01,Aurora,Floodlight,Floodlight,Surfaced,R 0.61,0.102564103,0.102564103,Retro,0,20,50,,Flood,600,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood HPS - 70W,Flood HPS - 150W,Flood MV - 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,,,,,,
FLED20W,20W LED Floodlight,R 273.46,10.00%,20.00%,30.00%,R 460.76,,,Floodlight,Hours Per Year,Yes,0.02,0.02,Aurora,Floodlight,Floodlight,Surfaced,R 0.82,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood HPS - 70W,Flood HPS - 150W,Flood MV - 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,Flood MV - 125W,Flood MH - 35W,,,,,,,,,,,,,,,,,
FLED30W,30W LED Floodlight,R 412.14,10.00%,20.00%,30.00%,R 648.00,,,Floodlight,Hours Per Year,Yes,0.03,0.03,Aurora,Floodlight,Floodlight,Surfaced,R 1.24,0.307692308,0.307692308,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - 250W,Flood HPS - 400W,Flood MV - 125W,Flood MV - 250W,Flood MBL - 160W,Flood MBL - 250W,Flood CFL - 1 X 85W,Flood MH - 35W,,,,,,,,,,,,,,,,
FLED50W,50W LED Floodlight,R 601.52,10.00%,20.00%,30.00%,R 1 013.18,,,Floodlight,Hours Per Year,Yes,0.05,0.05,Aurora,Floodlight,Floodlight,Surfaced,R 1.80,0.512820513,0.512820513,Retro,0,30,50,,Flood,3400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - 250W,Flood HPS - 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,Flood MH - 35W,,,,,,,,,,,,,,
FLED80W ,80W LED Floodlight,R 1 153.10,10.00%,20.00%,30.00%,R 1 872.00,,,Floodlight,Hours Per Year,Yes,0.08,0.08,Aurora,Floodlight,Floodlight,Surfaced,R 3.46,,,Retro,0,50,60,,Flood,4800,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - 250W,Flood HPS - 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,,
FLED120W,120W LED Floodlight,R 1 935.12,10.00%,20.00%,30.00%,R 3 149.10,,,Floodlight,Hours Per Year,Yes,0.12,0.12,Aurora,Floodlight,Floodlight,Surfaced,R 5.81,,,Retro,0,60,60,,Flood,7000,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - 250W,Flood HPS - 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,Flood MH - 1000W,Flood MV - 1000W,,,,,,,,,,,,,
