Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20,
FLCGR50WE14D,6W R50 WW E14 Dim ,R 96.00,10.00%,20.00%,30.00%,R 144.00,,,Spotlight,Hours Per Year,Yes,0.006,0.00645,Aurora,R 50,GLS,Surfaced,R 0.29,,,Retro,15,5,10,,E27,350,3000,WW,36,,,,,,E14 - 7W - CFL,E14 - 40W - Incandescent,,,,,,,,,,,,,,,,,,,
FLAUR63CE27,10W R63 CW E27,R 113.24,10.00%,20.00%,30.00%,R 179.96,,,Spotlight,Hours Per Year,Yes,0.01,0.01075,Aurora,R 63,GLS,Surfaced,R 0.34,,,Retro,15,5,10,,E27,600,4000,CW,36,,,,,,E27 - 9W - CFL,E27 - 11W - CFL,E27 - 42W - Halogen GLS,E27 - 60W - Incandescent,E27 - 100W - Incandescent,,,,,,,,,,,,,,,,
FLAUR63WE27,10W R63 WW E27,R 113.09,10.00%,20.00%,30.00%,R 179.96,,,Spotlight,Hours Per Year,Yes,0.01,0.01075,Aurora,R 63,GLS,Surfaced,R 0.34,,,Retro,15,5,10,,E27,600,3000,WW,36,,,,,,E27 - 9W - CFL,E27 - 11W - CFL,E27 - 42W - Halogen GLS,E27 - 60W - Incandescent,E27 - 100W - Incandescent,,,,,,,,,,,,,,,,
FLAUPAR30C,11W PAR30 Cool White E27,R 204.62,10.00%,20.00%,30.00%,R 386.10,,,Spotlight,Hours Per Year,Yes,0.011,0.011825,Aurora,Par 30,Spotlight,Surfaced,R 0.61,,,Retro,15,5,10,,E27,750,4000,CW,36,,,,,,E27 - 20W - CFL,E27 - 80W - Halogen,E27 - 120W - Halogen,,,,,,,,,,,,,,,,,,
FLAUPAR38C,16W PAR38 Cool White E27,R 306.26,10.00%,20.00%,30.00%,R 530.10,,,Spotlight,Hours Per Year,Yes,0.016,0.0172,Aurora,Par 38,Spotlight,Surfaced,R 0.92,,,Retro,15,10,15,,E27,1100,4000,CW,36,,,,,,E27 - 20W - CFL,E27 - 80W - Halogen,E27 - 120W - Halogen,E27 - 150W - Halogen,,,,,,,,,,,,,,,,,
FLAUPAR38W,16W PAR38 Warm White E27,R 251.00,10.00%,20.00%,30.00%,R 389.00,,,Spotlight,Hours Per Year,Yes,0.016,0.0172,Aurora,Par 38,Spotlight,Surfaced,R 0.75,,,Retro,15,10,15,,E27,950,3000,WW,36,,,,,,E27 - 20W - CFL,E27 - 80W - Halogen,E27 - 120W - Halogen,E27 - 150W - Halogen,,,,,,,,,,,,,,,,,
FLAUPAR30W,11W PAR30 Warm White E27,R 333.54,10.00%,20.00%,30.00%,R 530.10,,,Spotlight,Hours Per Year,Yes,0.011,0.011825,Aurora,Par 30,Spotlight,Surfaced,R 1.00,,,Retro,15,10,15,,E27,650,3000,WW,36,,,,,,E27 - 20W - CFL,E27 - 80W - Halogen,E27 - 120W - Halogen,E27 - 150W - Halogen,,,,,,,,,,,,,,,,,
FLED10W,LED Floodlight 10W,R 203.01,10.00%,20.00%,30.00%,R 224.96,,,Floodlight,Hours Per Year,Yes,0.01,0.01075,Aurora,Floodlight,Floodlight,Surfaced,R 0.61,0.102564103,0.102564103,Retro,0,10,50,,Flood,600,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood HPS - 70W,Flood HPS - 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,
FLED20W,LED Floodlight 20W,R 273.46,10.00%,20.00%,30.00%,R 460.76,,,Floodlight,Hours Per Year,Yes,0.02,0.0215,Aurora,Floodlight,Floodlight,Surfaced,R 0.82,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood HPS - 70W,Flood HPS - 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,
FLED30W,LED Floodlight 30W,R 412.14,10.00%,20.00%,30.00%,R 648.00,,,Floodlight,Hours Per Year,Yes,0.03,0.03225,Aurora,Floodlight,Floodlight,Surfaced,R 1.24,0.307692308,0.307692308,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - E40 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - 125W,Flood MV - 250W,Flood MBL - 160W,Flood MBL - 250W,Flood CFL - 1 X 85W,,,,,,,,
