Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FL11B222U,11W 2U B22 CW,,,,,R 2.50,,,GLS,Hours Per Year,Yes,0.011,0.011,OPPLE,GLS,SURFACED,GLS,,,,,,,,,B22,693,4000K,C,12,,,,,,B22 - 60W,,,,,,,,,,,,,,,,,,,
FL11B222UW,11W 2U B22 WW,,,,,R 3.00,,,GLS,Hours Per Year,Yes,0.011,0.011,OPPLE,GLS,SURFACED,GLS,,,,,,,,,B22,693,2700K,W,12,,,,,,B22 - 60W,,,,,,,,,,,,,,,,,,,
FL11E272U,11W 2U E27 CW,,,,,R 3.00,,,GLS,Hours Per Year,Yes,0.011,0.011,OPPLE,GLS,SURFACED,GLS,,,,,,,,,E27,693,4000k,C,12,,,,,,E27 - 60W,,,,,,,,,,,,,,,,,,,
FL11E272UW,11W 2U E27 WW,,,,,R 3.00,,,GLS,Hours Per Year,Yes,0.011,0.011,OPPLE,GLS,SURFACED,GLS,,,,,,,,,E27,693,2700K,W,12,,,,,,E27 - 60W,,,,,,,,,,,,,,,,,,,
FL14INTC,14W INT CW,,,,,R 71.00,,,Downlight,Hours Per Year,Yes,0.014,0.014,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,INT,1200,4000K,C,36,,,,,,PL - 50W - CFL,PL - 55W - CFL,,,,,,,,,,,,,,,,,,
FL14INTDL,14W INT DL,,,,,R 71.00,,,Downlight,Hours Per Year,Yes,0.014,0.014,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,INT,1100,3000K,W,36,,,,,,PL - 50W - CFL,PL - 55W - CFL,,,,,,,,,,,,,,,,,,
FL20B22MS,20W MS B22 CW,,,,,R 4.20,,,GLS,Hours Per Year,Yes,0.02,0.02,OPPLE,GLS,SURFACED,GLS,,,,,,,,,B22,1150,4000K,C,12,,,,,,B22 - 60W,B22 - 75W,B22 - 100W,,,,,,,,,,,,,,,,,
FL20B22MSW,20W MS B22 WW,,,,,R 4.20,,,GLS,Hours Per Year,Yes,0.02,0.02,OPPLE,GLS,SURFACED,GLS,,,,,,,,,B22,1200,2700K,W,12,,,,,,B22 - 60W,B22 - 75W,B22 - 100W,,,,,,,,,,,,,,,,,
FL20E27MS,20W MS E27 CW,,,,,R 4.20,,,GLS,Hours Per Year,Yes,0.02,0.02,OPPLE,GLS,SURFACED,GLS,,,,,,,,,E27,1150,4000K,C,12,,,,,,E27 - 60W,E27 - 75W,E27 - 100W,,,,,,,,,,,,,,,,,
FL20E27MSW,20W MS E27 WW,,,,,R 4.40,,,GLS,Hours Per Year,Yes,0.02,0.02,OPPLE,GLS,SURFACED,GLS,,,,,,,,,E27,1200,2700K,W,12,,,,,,E27 - 60W,E27 - 75W,E27 - 100W,,,,,,,,,,,,,,,,,
