Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLCG45CE14D,5W Golf Ball CW E14 Dim ,R 179.95,,,,R 266.71,,,Golf Ball,Hours Per Year,Yes,0.005,0.005,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E14,320,4000,CW,36,,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 32W - CFL,E14 - 25W - Golf Ball,E14 - 35W - Golf Ball,E14 - 60W - Golf Ball,,,,,,,,,,,
FLCG45WE14D,5W Golf Ball WW E14 Dim ,R 179.95,,,,R 266.71,,,Golf Ball,Hours Per Year,Yes,0.005,0.005,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E14,320,3000,WW,36,,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 32W - CFL,E14 - 25W - Golf Ball,E14 - 35W - Golf Ball,E14 - 60W - Golf Ball,,,,,,,,,,,
FLED10W,10W LED Floodlight,R 295.00,,,,R 437.19,,,Floodlight,Hours Per Year,Yes,0.01,0.01,Aurora,Floodlight,Floodlight,Surfaced,R 0.61,0.102564103,0.102564103,Retro,0,10,50,,Flood,600,6000,DL,60,,,,,,Flood - HPS - 150W,Flood - MH - 125W,Flood - MH - 150W,Flood - MV - 125W,Flood - Hal - 25W,Flood - Hal - 30W,Flood - Hal - 50W,Flood - Hal - 70W,Flood - Hal - 100W,Flood - Hal - 110W,Flood - Hal - 125W,Flood - Hal - 150W,Flood - CFL - 85W,,,,,,,
FLED20W,20W LED Floodlight,R 611.95,,,,R 906.92,,,Floodlight,Hours Per Year,Yes,0.02,0.02,Aurora,Floodlight,Floodlight,Surfaced,R 0.82,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood - HPS - 150W,Flood - MH - 125W,Flood - MH - 150W,Flood - MH - 200W,Flood - MV - 125W,Flood - MV - 160W,Flood - MV - 175W,Flood - Hal - 50W,Flood - Hal - 100W,Flood - Hal - 110W,Flood - Hal - 125W,Flood - Hal - 150W,Flood - CFL - 85W,Flood - CFL - 100W,Flood - CFL - 105W,Flood - CFL - 125W,Flood - CFL - 150W,,,
FLED30W,30W LED Floodlight,R 720.00,,,,R 1 065.95,,,Floodlight,Hours Per Year,Yes,0.03,0.03,Aurora,Floodlight,Floodlight,Surfaced,R 1.24,0.307692308,0.307692308,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood - HPS - 150W,Flood - HPS - 250W,Flood - MH - 125W,Flood - MH - 150W,Flood - MH - 200W,Flood - MH - 250W,Flood - MV - 125W,Flood - MV - 160W,Flood - MV - 175W,Flood - MV - 250W,Flood - Hal - 100W,Flood - Hal - 110W,Flood - Hal - 125W,Flood - Hal - 150W,Flood - Hal - 200W,Flood - Hal - 250W,Flood - CFL - 105W,Flood - CFL - 125W,Flood - CFL - 150W,Flood - CFL - 175W
FLED50W,50W LED Floodlight,R 1 125.75,,,,R 1 668.36,,,Floodlight,Hours Per Year,Yes,0.05,0.05,Aurora,Floodlight,Floodlight,Surfaced,R 1.80,0.512820513,0.512820513,Retro,0,30,50,,Flood,3400,6000,DL,60,,,,,,Flood - HPS - 250W,Flood - HPS - 400W,Flood - MH - 200W,Flood - MH - 250W,Flood - MH - 400W,Flood - MV - 175W,Flood - MV - 250W,Flood - MV - 400W,Flood - Hal - 125W,Flood - Hal - 150W,Flood - Hal - 200W,Flood - Hal - 250W,Flood - CFL - 105W,Flood - CFL - 125W,Flood - CFL - 150W,Flood - CFL - 175W,Flood - CFL - 180W,Flood - CFL - 200W,,
FLED10WS,10W LED Flood with sensor,R 491.74,,,,R 728.77,,,Floodlight,Hours Per Year,Yes,0.01,0.01,Aurora,Floodlight,Floodlight,Surfaced,R 0.74,0.102564103,0.102564103,Retro,0,60,50,,Flood,600,6000,DL,60,,,,,,Flood - HPS - 150W,Flood - MH - 125W,Flood - MH - 150W,Flood - MV - 125W,Flood - Hal - 25W,Flood - Hal - 30W,Flood - Hal - 50W,Flood - Hal - 70W,Flood - Hal - 100W,Flood - Hal - 110W,Flood - Hal - 125W,Flood - Hal - 150W,Flood - CFL - 85W,,,,,,,
FLED20WS,20W LED Flood with sensor,R 765.58,,,,R 1 134.59,,,Floodlight,Hours Per Year,Yes,0.02,0.02,Aurora,Floodlight,Floodlight,Surfaced,R 1.20,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood - HPS - 150W,Flood - MH - 125W,Flood - MH - 150W,Flood - MH - 200W,Flood - MV - 125W,Flood - MV - 160W,Flood - MV - 175W,Flood - Hal - 50W,Flood - Hal - 100W,Flood - Hal - 110W,Flood - Hal - 125W,Flood - Hal - 150W,Flood - CFL - 85W,Flood - CFL - 100W,Flood - CFL - 105W,Flood - CFL - 125W,Flood - CFL - 150W,,,
FLCC5B22WD,5W Candle WW B22 Dimmable,R 225.00,,,,R 333.45,,,Candle,Hours Per Year,Yes,0.005,0.005,Aurora,Candle,Candle,Surfaced,R 0.31,0.051282051,0.051282051,Retro,30,10,30,,B22,300,3000,WW,36,,,,,,B22 - 60W - Incan,B22 - 32W - CFL,,,,,,,,,,,,,,,,,,
FLCC5E14WD,5W Candle WW E14 Dimmable,R 158.95,,,,R 235.57,,,Candle,Hours Per Year,Yes,0.005,0.005,Aurora,Candle,Candle,Surfaced,R 0.27,0.051282051,0.051282051,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 25W - Candle,E14 - 35W - Candle,E14 - 60W - Candle,E14 - 32W - CFL,,,,,,,,,,,,,,,,
FLAUCA37WE14D,5W Candle Tip WW E14 Dim ,R 169.00,,,,R 250.46,,,Candle,Hours Per Year,Yes,0.005,0.005,Aurora,Candle ,Candle ,Surfaced,R 0.29,,,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 25W - Candle,E14 - 35W - Candle,E14 - 60W - Candle,,,,,,,,,,,,,,,,,
