Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,dimmable,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FSFSH1,LOTUS,,,,,R 285.00,,,Showerhead,Number Per Day,Yes,0.319,0.319,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,,,,,,,,,,12,10,MINUTE,SINGLE,1,,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH18,CYPRESS,,,,,R 648.70,,,Showerhead,Number Per Day,Yes,0.319,0.319,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,,,,,,,,,,12,10,MINUTE,SINGLE,1,,1/2 inch,Existing - Ceiling,,,,,,,,,,,,,,,,,,,
FSFSH23,STORM,,,,,R 150.80,,,Showerhead,Number Per Day,Yes,0.261,0.261,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,,,,,,,,,,12,8,MINUTE,3 FUNCTION,3,,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH6,ROSEBUD WHITE,,,,,R 116.94,,,Showerhead,Number Per Day,Yes,0.29,0.29,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,,,,,,,,,,12,9,MINUTE,3 FUNCTION,3,,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH7,ROSEBUD CHROME,,,,,R 116.94,,,Showerhead,Number Per Day,Yes,0.29,0.29,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,,,,,,,,,,12,9,MINUTE,3 FUNCTION,3,,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH8,MEXICAN HAT,,,,,R 165.00,,,Showerhead,Number Per Day,Yes,0.406,0.406,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,,,,,,,,,,12,13,MINUTE,SINGLE,1,,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH15,STAR GAZER,,,,,R 310.70,,,Showerhead,Number Per Day,Yes,0.319,0.319,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,,,,,,,,,,12,10,MINUTE,SINGLE,1,,1/2 inch,Existing - Ceiling,,,,,,,,,,,,,,,,,,,
FLIQ24T8DL,LED T8 1500mm 5ft 24W DL,,,,,R 340.18,,,LED Tube,Hours Per Year,Yes,0.024,0.0258,Azoteq,LED Tube ,LED Tube,Surfaced,,,,,,,,,T8,2064,5700,DL,36,,,,,,,T8 - 1 X 58W - 5 foot,T8 - 2 X 58W - 5 foot,T12 - 1 X 65W,T12 - 2 X 65W - 5 foot,,,,,,,,,,,,,,,,
FLSLR6DL,Slimline Round Downlight 6W DL,,,,,R 177.26,,,Integrated,Hours Per Year,Yes,0.002,0.00215,Opple,Downlight,Downlight,Recessed,,,,Retro/Rewire ,,,,,Downlight,360,6400,DL,36,,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,,,,,,,,,,,
FLSLR6W,Slimline Round Downlight 6W WW,,,,,R 165.00,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,,,,Retro/Rewire ,,,,,Downlight,360,3100,WW,36,,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,,,,,,,,,,,
FLSLS6DL,Slimline Square Downlight 6W DL,,,,,R 177.26,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,,,,Retro/Rewire ,,,,,Downlight,360,6400,DL,36,,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,,,,,,,,,,,
FLSLS6W,Slimline Square Downlight 6W WW,,,,,R 177.26,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,,,,Retro/Rewire ,,,,,Downlight,360,3100,WW,36,,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,,,,,,,,,,,
