Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FL14INTC,14W INT CW,,,,,R 740.00,,,Downlight,Hours Per Year,Yes,0.014,0.014,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,INT,1200,4000K,C,36,,,,,,PL - 50W,PL - 55W,,,,,,,,,,,,,,,,,,
FL14INTDL,14W INT DL,,,,,R 780.00,,,Downlight,Hours Per Year,Yes,0.014,0.014,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,INT,1100,3000K,W,36,,,,,,PL - 50W,PL - 55W,,,,,,,,,,,,,,,,,,
FL20B22MS,20W MS B22 CW,,,,,R 25.00,,,GLS,Hours Per Year,Yes,0.02,0.02,OPPLE,GLS,SURFACED,GLS,,,,,,,,,B22,1150,4000K,C,12,,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,,,,,,,,,,,,,,,,,
FL20B22MSW,20W MS B22 WW,,,,,R 25.00,,,GLS,Hours Per Year,Yes,0.02,0.02,OPPLE,GLS,SURFACED,GLS,,,,,,,,,B22,1200,2700K,W,12,,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,,,,,,,,,,,,,,,,,
FL20E27MS,20W MS E27 CW,,,,,R 25.00,,,GLS,Hours Per Year,Yes,0.02,0.02,OPPLE,GLS,SURFACED,GLS,,,,,,,,,E27,1150,4000K,C,12,,,,,,E27 - 60W,E27 - 75W,E27 - 100W,,,,,,,,,,,,,,,,,
FL20E27MSW,20W MS E27 WW,,,,,R 25.00,,,GLS,Hours Per Year,Yes,0.02,0.02,OPPLE,GLS,SURFACED,GLS,,,,,,,,,E27,1200,2700K,W,12,,,,,,E27 - 60W,E27 - 75W,E27 - 100W,,,,,,,,,,,,,,,,,
FL5INTDL,5W INT DL,,,,,R 400.00,,,Downlight,Hours Per Year,Yes,0.005,0.005,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,INT,400,5700K,D,36,,,,,,PL - 18W,PL - 24W,,,,,,,,,,,,,,,,,,
FL5INTW,5W INT WW,,,,,R 400.00,,,Downlight,Hours Per Year,Yes,0.005,0.005,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,INT,330,3000K,W,36,,,,,,PL - 18W,PL - 24W,,,,,,,,,,,,,,,,,,
FL9INTC,9W INT CW,,,,,R 500.00,,,Downlight,Hours Per Year,Yes,0.009,0.009,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,INT,800,4000K,C,36,,,,,,PL - 36W,PL - 40W,,,,,,,,,,,,,,,,,,
FL9INTW,9W INT WW,,,,,R 500.00,,,Downlight,Hours Per Year,Yes,0.009,0.009,ELLIES,DOWNLIGHT,RECESSED,DOWNLIGHT,,,,,,,,,INT,700,3000K,W,36,,,,,,PL - 36W,PL - 40W,,,,,,,,,,,,,,,,,,
FLAUA60CB22,12W A60 B22 CW,,,,,R 310.00,,,GLS,Hours Per Year,Yes,0.012,0.012,AURORA,GLS,SURFACED,GLS,,,,,,,,,B22,820,4000K,C,48,,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
FLAUA60CE27,12W A60 E27 CW,,,,,R 310.00,,,GLS,Hours Per Year,Yes,0.012,0.012,AURORA,GLS,SURFACED,GLS,,,,,,,,,E27,820,4000K,C,48,,,,,,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 18W - CFL,E27 - 20W - CFL,E27 - 60W,E27 - 75W,E27 - 100W,,,,,,,,,,,,,
