Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLCG45CE14D,5W Golf Ball CW E14 Dim ,R 179.95,,,,R 266.71,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E14,320,4000,CW,36,,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 40W - Incandescent,E14 - 28W - Halogen GLS,E14 - 25W - Golf Ball,E14 - 35W - Golf Ball,E14 - 60W - Golf Ball,,,,,,,,,,
FLCG45WE14D,5W Golf Ball WW E14 Dim ,R 179.95,,,,R 266.71,,,Golf Ball,Hours Per Year,Yes,0.005,0.005375,Aurora,Golf Ball,Golf Ball,Surfaced,R 0.27,,,Retro,15,5,10,,E14,320,3000,WW,36,,,,,,E14 - 8W - CFL,E14 - 12W - CFL,E14 - 15W - CFL,E14 - 11W - CFL,E14 - 14W - CFL,E14 - 40W - Incandescent,E14 - 28W - Halogen GLS,E14 - 25W - Golf Ball,E14 - 35W - Golf Ball,E14 - 60W - Golf Ball,,,,,,,,,,
FLED10W,10W LED Floodlight,R 295.00,,,,R 437.19,,,Floodlight,Hours Per Year,Yes,0.01,0.01075,Aurora,Floodlight,Floodlight,Surfaced,R 0.61,0.102564103,0.102564103,Retro,0,10,50,,Flood,600,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,G12 - 35W - Spot,,,,,,,,
FLED20W,20W LED Floodlight,R 611.95,,,,R 906.92,,,Floodlight,Hours Per Year,Yes,0.02,0.0215,Aurora,Floodlight,Floodlight,Surfaced,R 0.82,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,G12 - 35W - Spot,,,,,,,,
FLED30W,30W LED Floodlight,R 720.00,,,,R 1 065.95,,,Floodlight,Hours Per Year,Yes,0.03,0.03225,Aurora,Floodlight,Floodlight,Surfaced,R 1.24,0.307692308,0.307692308,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood MH - E40 400W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - E27 125W,Flood MV - E40 250W,Flood MBL - 160W,Flood MBL - 250W,Flood CFL - 1 X 85W,G12 - 150W - Spot,G12 - 70W - Spot,G12 - 35W - Spot,,,,
FLED50W,50W LED Floodlight,R 1 125.75,,,,R 1 668.36,,,Floodlight,Hours Per Year,Yes,0.05,0.05375,Aurora,Floodlight,Floodlight,Surfaced,R 1.80,0.512820513,0.512820513,Retro,0,30,50,,Flood,3400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood MH - E40 400W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - E27 125W,Flood MV - E40 250W,Flood MV - E40 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,G12 - 150W - Spot,G12 - 70W - Spot,G12 - 35W - Spot,,
FLED10WS,10W LED Flood with sensor,R 491.74,,,,R 728.77,,,Floodlight,Hours Per Year,Yes,0.01,0.01075,Aurora,Floodlight,Floodlight,Surfaced,R 0.74,0.102564103,0.102564103,Retro,0,60,50,,Flood,600,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,G12 - 70W - Spot,G12 - 35W - Spot,,,,,,,
FLED20WS,20W LED Flood with sensor,R 765.58,,,,R 1 134.59,,,Floodlight,Hours Per Year,Yes,0.02,0.0215,Aurora,Floodlight,Floodlight,Surfaced,R 1.20,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,G12 - 70W - Spot,G12 - 35W - Spot,,,,,,,
FLCC5B22WD,5W Candle WW B22 Dimmable,R 225.00,,,,R 333.45,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle,Candle,Surfaced,R 0.31,0.051282051,0.051282051,Retro,30,10,30,,B22,300,3000,WW,36,,,,,,B22 - 60W - Incandescent Candle,B22 - 28W - Halogen Candle,B22 - 42W - Halogen Candle,B22 - 40W - Incandescent Candle,B22 - 60W - Candle,B22 - 40W - Candle,,,,,,,,,,,,,,
FLCC5E14WD,5W Candle WW E14 Dimmable,R 158.95,,,,R 235.57,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle,Candle,Surfaced,R 0.27,0.051282051,0.051282051,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,E14 - 60W - Candle,E14 - 40W - Candle,,,,,,,,,,,,,,
FLAUCA37WE14D,5W Candle Tip WW E14 Dim ,R 169.00,,,,R 250.46,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle ,Candle ,Surfaced,R 0.29,,,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,E14 - 60W - Candle,E14 - 40W - Candle,,,,,,,,,,,,,,
FLMX1173/Y28Z,Eco Beam 1200 28W (4FT) DL,R 97.00,,,,R 143.75,,,Fluorescent,Hours Per Year,Yes,0.028,0.0301,Philips,Fluorescent,Fluorescent,Surfaced,R 0.14,0.287179487,0.287179487,Retro,30,20,30,,T5,2400,5700,DL,24,,,,,,T8 - 1 X 36W - 4 foot,T8 - 2 X 36W - 4 foot,T12 - 2 X 40W - 4 foot,,,,,,,,,,,,,,,,,
FLIQ24T8DL,24W LED T8 1500mm 5ft DL,R 377.98,,,,R 560.17,,,Industrial,Hours Per Year,Yes,0.024,0.0258,Azoteq,LED Tube ,Industrial,Surfaced,R 0.57,,,Retro / Rewire ,25,20,20,,T8,2064,5700,DL,36,,,,,,T8 - 1 X 58W - 5 foot,T8 - 2 X 58W - 5 foot,T12 - 1 X 65W,T12 - 2 X 65W - 5 foot,,,,,,,,,,,,,,,,
FLEMLD2,2W LED Emergency Light DL,R 695.00,,,,R 1 029.99,,,Integrated,Hours Per Year,Yes,0.012,0.0129,Aurora,Fluorescent,Fluorescent,Recessed,R 1.07,,,Retro / Rewire ,0,50,50,,Downlight,110,5700,DL,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,Halogen 20W MR16,,,,,,,,,,,,,,
FLSLR6C,6W Slim Round Downlight CW,R 196.95,,,,R 291.89,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,R 0.30,,,Retro / Rewire ,0,40,40,,Downlight,360,4100,CW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incandescent,B22 - 100W - Incandescent,B22 - 40W - Incandescent Candle,,,,,,
FLSLR6W,6W Slim Round Downlight WW,R 196.95,,,,R 291.89,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,R 0.30,,,Retro / Rewire ,0,40,40,,Downlight,360,3100,WW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,E27 - 40W - Incandescent,,,,,,
FLSLR12C,12W Slim Round Downlight CW,R 304.50,,,,R 451.27,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,R 0.46,,,Retro / Rewire ,0,40,40,,Downlight,820,4100,CW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,E27 - 40W - Incandescent,,,,,,
FLSLR12W,12W Slim Round Downlight WW,R 304.50,,,,R 451.27,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,R 0.46,,,Retro / Rewire ,0,40,40,,Downlight,820,3100,WW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incandescent,B22 - 100W - Incandescent,B22 - 40W - Incandescent Candle,,,,,,
FLSLS6C,6W Slim Square Downlight CW,R 196.95,,,,R 291.89,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,R 0.30,,,Retro / Rewire ,0,40,40,,Downlight,360,4100,CW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incandescent,B22 - 100W - Incandescent,B22 - 40W - Incandescent Candle,,,,,,
FLSLS6W,6W Slim Square Downlight WW,R 196.95,,,,R 291.89,,,Integrated,Hours Per Year,Yes,0.006,0.00645,Opple,Downlight,Downlight,Recessed,R 0.30,,,Retro / Rewire ,0,40,40,,Downlight,360,3100,WW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,E27 - 40W - Incandescent,,,,,,
FLSLS12C,12W Slim Square Downlight CW,R 304.50,,,,R 451.27,,,Integrated,Hours Per Year,Yes,0.012,0.0129,Opple,Downlight,Downlight,Recessed,R 0.48,,,Retro / Rewire ,0,40,40,,Downlight,360,4100,CW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,E27 - 40W - Incandescent,,,,,,
