Code,Product,Cost,Price - A,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLSLR12W,12W Slim Round D/light WW,R 160.00,R 208.00,Integrated,Hours Per Year,Yes,0.012,0.012,Opple,Integrated,Peter,Recessed,R 0.46,,,Retro / Rewire ,0,40,40,,Downlight,820,3100,WW,36,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,MR16 - 20W,MR16 - 35W,MR16 - 42W,MR16 - 50W,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,,,
FLSLS6C,6W Slim Square D/light CW,R 110.00,R 143.00,Integrated,Hours Per Year,Yes,0.006,0.006,Opple,Integrated,Peter,Recessed,R 0.30,,,Retro / Rewire ,0,40,40,,Downlight,360,4100,CW,36,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,MR16 - 20W,MR16 - 35W,MR16 - 42W,MR16 - 50W,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,,,
FLSLS6W,6W Slim Square D/light WW,R 110.00,R 143.00,Integrated,Hours Per Year,Yes,0.006,0.006,Opple,Integrated,Peter,Recessed,R 0.30,,,Retro / Rewire ,0,40,40,,Downlight,360,3100,WW,36,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,MR16 - 20W,MR16 - 35W,MR16 - 42W,MR16 - 50W,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,
FLSLS12C,12W Slim Square D/light CW,R 160.00,R 208.00,Integrated,Hours Per Year,Yes,0.012,0.012,Opple,Integrated,Peter,Recessed,R 0.48,,,Retro / Rewire ,0,40,40,,Downlight,360,4100,CW,36,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,MR16 - 20W,MR16 - 35W,MR16 - 42W,MR16 - 50W,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,
FLSLS12W,12W Slim Square D/light WW,R 160.00,R 208.00,Integrated,Hours Per Year,Yes,0.012,0.012,Opple,Integrated,Peter,Recessed,R 0.46,,,Retro / Rewire ,0,40,40,,Downlight,360,3100,WW,36,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,MR16 - 20W,MR16 - 35W,MR16 - 42W,MR16 - 50W,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,,,
FLIQGU10CD,4.5W LED GU10 manual dim CW,R 90.00,R 117.00,Downlight,Hours Per Year,Yes,0.0045,0.0045,Azoteq,Downlight,Downlight,Recessed,R 0.18,,,Retro,15,40,40,,Downlight,300,4000,CW,24,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,,,,,,,,,,,,,,,,
FLIQGU10WD,4.5W LED GU10 manual dim WW,R 93.00,R 120.90,Downlight,Hours Per Year,Yes,0.0045,0.0045,Azoteq,GU10,Downlight,Recessed,R 0.19,,,Retro,15,40,40,,GU10,300,3000,WW,24,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,,,,,,,,,,,,,,,,
FLIQA19E27CD,9W LED GLS CW E27,R 109.00,R 141.70,GLS,Hours Per Year,Yes,0.009,0.009,Azoteq,GU10,Downlight,Recessed,R 0.22,,,Retro,15,40,40,,GU10,620,4000,CW,24,0,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,,,,,,,,,,,,
FLIQA19B22CD,9W LED GLS CW B22,R 112.00,R 145.60,GLS,Hours Per Year,Yes,0.009,0.009,Azoteq,GU10,Downlight,Recessed,R 0.22,,,Retro,15,40,40,,GLS,620,4000,CW,24,0,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
FLIQA19E27WD,9W LED GLS WW E27,R 114.00,R 148.20,GLS,Hours Per Year,Yes,0.009,0.009,Azoteq,GU10,Downlight,Recessed,R 0.23,,,Retro,15,40,40,,GLS,620,3000,WW,24,0,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,,,,,,,,,,,,
