Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
Halogen 50W MR16,Exi0000027,MR16,Halogen,Halogen,Hours Per Year,0.05,0,5,5,1000
Halogen 35W MR16,Exi0000028,MR16,Halogen,Halogen,Hours Per Year,0.035,0,5,5,1000
E14 - 60W - Candle,Exi0000036,E14,Incandescent Candle ,Incandescent,Hours Per Year,0.06,0,5,5,1000
T12 - 2 X 65W - 5 foot,Exi0000057,T12,Fluorescent,Fluorescent,Hours Per Year,0.13,0,5,5,6000
T8 - 2 X 58W - 5 foot,Exi0000084,T8,Fluorescent,Fluorescent,Hours Per Year,0.116,0,5,5,8000
T8 - 1 X 58W - 5 foot,Exi0000099,T8,Fluorescent,Fluorescent,Hours Per Year,0.058,0,5,5,8000
E27 - 11W - CFL,Exi0000113,E27,Energy Saver,CFL,Hours Per Year,0.011,0,5,5,
E27 - 14W - CFL,Exi0000125,E27,Energy Saver,CFL,Hours Per Year,0.014,0,5,5,
E27 - 60W - Incandescent,Exi0000127,E27,Incandescent,Incandescent,Hours Per Year,0.06,0,5,5,
E27 - 100W - Incandescent,Exi0000129,E27,Incandescent,Incandescent,Hours Per Year,0.1,0,5,5,
T12 - 1 X 65W,Exi0000198,T12,Fluorescent,Fluorescent,Hours Per Year,0.065,0,5,5,
Existing - Wall,Exi0000204,Showerhead,Wall,Showerhead,Number Per Day,,25,5,5,
B22 - 100W,Exi0000205,B22,GLS,Incandescent,Hours Per Year,0.1,0,,,
B22 - 60W,Exi0000206,B22,GLS,Incandescent,Hours Per Year,0.06,0,,,
B22 - 75W,Exi0000207,B22,GLS,Incandescent,Hours Per Year,0.075,0,,,
B22 - 14W - CFL,Exi0000208,CFL,GLS,CFL,Hours Per Year,0.014,0,,,
B22 - 15W - CFL,Exi0000209,CFL,GLS,CFL,Hours Per Year,0.015,0,,,
B22 - 18W - CFL,Exi0000210,CFL,GLS,CFL,Hours Per Year,0.018,0,,,
B22 - 20W - CFL,Exi0000211,CFL,GLS,CFL,Hours Per Year,0.02,0,,,
E14 - 25W - Candle,Exi0000215,E14,Candle Tip,Incandescent,Hours Per Year,0.025,0,,,
E14 - 35W - Candle,Exi0000216,E14,Candle Tip,Incandescent,Hours Per Year,0.035,0,,,
HPS - 150W - Floodlight,Exi0000217,Floodlight,Floodlight,HPS,Hours Per Year,0.15,0,,,
HPS - 250W - Floodlight,Exi0000218,Floodlight,Floodlight,HPS,Hours Per Year,0.25,0,,,
HPS - 400W - Floodlight,Exi0000219,Floodlight,Floodlight,HPS,Hours Per Year,0.4,0,,,
MH - 125W - Floodlight,Exi0000220,Floodlight,Floodlight,MH,Hours Per Year,0.125,0,,,
MH - 150W - Floodlight,Exi0000221,Floodlight,Floodlight,MH,Hours Per Year,0.15,0,,,
MH - 200W - Floodlight,Exi0000222,Floodlight,Floodlight,MH,Hours Per Year,0.2,0,,,
MH - 250W - Floodlight,Exi0000223,Floodlight,Floodlight,MH,Hours Per Year,0.25,0,,,
MH - 400W - Floodlight,Exi0000224,Floodlight,Floodlight,MH,Hours Per Year,0.4,0,,,
MV - 125W - Floodlight,Exi0000225,Floodlight,Floodlight,MV,Hours Per Year,0.125,0,,,
MV - 160W - Floodlight,Exi0000226,Floodlight,Floodlight,MV,Hours Per Year,0.16,0,,,
MV - 175W - Floodlight,Exi0000227,Floodlight,Floodlight,MV,Hours Per Year,0.175,0,,,
MV - 250W - Floodlight,Exi0000228,Floodlight,Floodlight,MV,Hours Per Year,0.25,0,,,
MV - 400W - Floodlight,Exi0000229,Floodlight,Floodlight,MV,Hours Per Year,0.4,0,,,
Halogen - 25W - Floodlight,Exi0000230,Floodlight,Floodlight,Halogen,Hours Per Year,0.025,0,,,
Halogen - 30W - Floodlight,Exi0000231,Floodlight,Floodlight,Halogen,Hours Per Year,0.03,0,,,
Halogen - 50W - Floodlight,Exi0000232,Floodlight,Floodlight,Halogen,Hours Per Year,0.05,0,,,
Halogen - 70W - Floodlight,Exi0000233,Floodlight,Floodlight,Halogen,Hours Per Year,0.07,0,,,
Halogen - 100W - Floodlight,Exi0000234,Floodlight,Floodlight,Halogen,Hours Per Year,0.1,0,,,
Halogen - 110W - Floodlight,Exi0000235,Floodlight,Floodlight,Halogen,Hours Per Year,0.11,0,,,
Halogen - 125W - Floodlight,Exi0000236,Floodlight,Floodlight,Halogen,Hours Per Year,0.125,0,,,
Halogen - 150W - Floodlight,Exi0000237,Floodlight,Floodlight,Halogen,Hours Per Year,0.15,0,,,
Halogen - 200W - Floodlight,Exi0000238,Floodlight,Floodlight,Halogen,Hours Per Year,0.2,0,,,
Halogen - 250W - Floodlight,Exi0000239,Floodlight,Floodlight,Halogen,Hours Per Year,0.25,0,,,
CFL - 85W - Floodlight,Exi0000240,Floodlight,Floodlight,CFL,Hours Per Year,0.085,0,,,
CFL - 100W - Floodlight,Exi0000241,Floodlight,Floodlight,CFL,Hours Per Year,0.1,0,,,
CFL - 105W - Floodlight,Exi0000242,Floodlight,Floodlight,CFL,Hours Per Year,0.105,0,,,
CFL - 125W - Floodlight,Exi0000243,Floodlight,Floodlight,CFL,Hours Per Year,0.125,0,,,
CFL - 150W - Floodlight,Exi0000244,Floodlight,Floodlight,CFL,Hours Per Year,0.15,0,,,
CFL - 175W - Floodlight,Exi0000245,Floodlight,Floodlight,CFL,Hours Per Year,0.175,0,,,
CFL - 180W - Floodlight,Exi0000246,Floodlight,Floodlight,CFL,Hours Per Year,0.18,0,,,
CFL - 200W - Floodlight,Exi0000247,Floodlight,Floodlight,CFL,Hours Per Year,0.2,0,,,
GU10 - 20W - 230V,Exi0000248,GU10,Downlight,Halogen,Hours Per Year,0.02,0,,,
GU10 - 35W - 230V,Exi0000249,GU10,Downlight,Halogen,Hours Per Year,0.035,0,,,
GU10 - 42W - 230V,Exi0000250,GU10,Downlight,Halogen,Hours Per Year,0.042,0,,,
GU10 - 50W - 230V,Exi0000251,GU10,Downlight,Halogen,Hours Per Year,0.05,0,,,
