Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
MR16 - 2 X 20W - Recessed,Exi0000136,MR16,MR16 - Recessed - 2 X,Halogen,Hours Per Year,0.04,0,5,5,
MR16 - 2 X 75W - Recessed,Exi0000137,MR16,MR16 - Recessed - 2 X,Halogen,Hours Per Year,0.15,0,5,5,
GU10 - 1 X 35W - Recessed,Exi0000138,GU10,GU10 - 1 X,Halogen,Hours Per Year,0.035,0,5,5,
GU10 - 1 X 20W - Recessed,Exi0000139,GU10,GU10 - 1 X,Halogen,Hours Per Year,0.02,0,5,5,
MR16 - 1 X 50W - Recessed,Exi0000140,MR16,MR16 - Recessed - 1 X,Halogen,Hours Per Year,0.05,0,5,5,
MR16 - 1 X 42W - Recessed,Exi0000141,MR16,MR16 - Recessed - 1 X,Halogen,Hours Per Year,0.042,0,5,5,
MR16 - 1 X 35W - Recessed,Exi0000142,MR16,MR16 - Recessed - 1 X,Halogen,Hours Per Year,0.035,0,5,5,
MR16 - 1 X 20W - Recessed,Exi0000143,MR16,MR16 - Recessed - 1 X,Halogen,Hours Per Year,0.02,0,5,5,
MR16 - 1 X 75W - Recessed,Exi0000144,MR16,MR16 - Recessed - 1 X,Halogen,Hours Per Year,0.075,0,5,5,
MR16 - 20W,Exi0000145,MR16,MR16,Halogen,Hours Per Year,0.02,0,5,5,
MR16 - 75W,Exi0000146,MR16,MR16,Halogen,Hours Per Year,0.075,0,5,5,
Highbay MV - 400W,Exi0000147,Highbay,Highbay,MV,Hours Per Year,0.4,0,5,5,
Highbay MV - 250W,Exi0000148,Highbay,Highbay,MV,Hours Per Year,0.25,0,5,5,
Highbay MH - 400W,Exi0000149,Highbay,Highbay,MH,Hours Per Year,0.4,0,5,5,
Highbay MH - 250W,Exi0000150,Highbay,Highbay,MH,Hours Per Year,0.25,0,5,5,
Highbay HPS - 400W,Exi0000151,Highbay,Highbay,HPS,Hours Per Year,0.4,0,5,5,
Highbay HPS - 250W,Exi0000152,Highbay,Highbay,HPS,Hours Per Year,0.25,0,5,5,
T12 - 1 X 20W - 2 foot,Exi0000153,T12,T12 - 1 X,Fluorescent,Hours Per Year,0.02,0,5,5,
T12 - 2 X 20W - 2 foot,Exi0000154,T12,T12 - 2 X,Fluorescent,Hours Per Year,0.04,0,5,5,
T12 - 1 X 40W - 4 foot,Exi0000155,T12,T12 - 1 X,Fluorescent,Hours Per Year,0.04,0,5,5,
T5 - 1 X 21W - 3 foot,Exi0000156,T5,T5 - 3 foot,Fluorescent,Hours Per Year,0.021,0,5,5,
T5 - 1 X 28W - 4 foot,Exi0000157,T5 ,T5 - 4 foot,Fluorescent,Hours Per Year,0.028,0,5,5,
T5 - 1 X 24W - 2 foot,Exi0000158,T5 ,T5 - 2 foot,Fluorescent,Hours Per Year,0.024,0,5,5,
T5 - 1 X 39W - 3 foot,Exi0000159,T5 ,T5 - 3 foot,Fluorescent,Hours Per Year,0.039,0,5,5,
T5 - 1 X 54W - 4 foot,Exi0000160,T5,T5 - 4 foot,Fluorescent,Hours Per Year,0.054,0,5,5,
T5 - 1 X 49W - 5 foot,Exi0000161,T5,T5 - 5 foot,Fluorescent,Hours Per Year,0.049,0,5,5,
T5 - 1 X 80W - 5 foot,Exi0000162,T5,T5 - 5 foot,Fluorescent,Hours Per Year,0.08,0,5,5,
E27 - 40W - Incan,Exi0000163,E27,"E27,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,
PL 2 Pin - 2 X 11W ,Exi0000164,2 Pin,2 Pin - 2 X,PL,Hours Per Year,0.022,0,5,5,6000
PL 4 Pin - 1 X 11W,Exi0000165,4 Pin,4 Pin - 1 X,PL,Hours Per Year,0.011,0,5,5,6000
PL 4 Pin - 2 X 11W ,Exi0000166,4 Pin,4 Pin - 2 X,PL,Hours Per Year,0.022,0,5,5,6000
T12 - 1 X 65W - 5 foot,Exi0000167,T12,T12 - 1 X,Fluorescent,Hours Per Year,0.065,0,5,5,
PL 2 Pin - 1 X 11W,Exi0000168,2 Pin,2 Pin - 1 X,PL,Hours Per Year,0.011,0,5,5,6000
PL 2 Pin - 1 X 10W,Exi0000170,2 Pin,2 Pin - 1 X,PL,Hours Per Year,0.01,0,5,5,6000
PL 2 Pin - 1 X 13W,Exi0000171,2 Pin,2 Pin - 1 X,PL,Hours Per Year,0.013,0,5,5,6000
T5 - 1 X 14W - 2 foot,Exi0000172,T5,T5 - 2 foot,Fluorescent,Hours Per Year,0.014,0,5,5,
E27 - 32W - CFL,Exi0000173,E27,E27 - CFL,CFL,Hours Per Year,0.032,0,5,5,
B22 - 32W - CFL,Exi0000175,B22,B22 - CFL,CFL,Hours Per Year,0.032,0,5,5,
Existing - Miscellaneous,Exi0000176,General,General,Miscellaneous,Hours Per Year,0,0,5,5,
GU10 - 4W - LED,Exi0000177,GU10,GU10,LED,Hours Per Year,0.004,0,5,5,
GU10 - 5W - LED,Exi0000178,GU10,GU10,LED,Hours Per Year,0.005,0,5,5,
GU10 - 6W - LED,Exi0000179,GU10,GU10,LED,Hours Per Year,0.006,0,5,5,
GU10 - 7W - LED,Exi0000180,GU10,GU10,LED,Hours Per Year,0.007,0,5,5,
GU10 - 8W - LED,Exi0000181,GU10,GU10,LED,Hours Per Year,0.008,0,5,5,
GU10 - 9W - LED,Exi0000182,GU10,GU10,LED,Hours Per Year,0.009,0,5,5,
MR16 - 4W - LED,Exi0000183,MR16,MR16,LED,Hours Per Year,0.004,0,5,5,
MR16 - 5W - LED,Exi0000184,MR16,MR16,LED,Hours Per Year,0.005,0,5,5,
MR16 - 6W - LED,Exi0000185,MR16,MR16,LED,Hours Per Year,0.006,0,5,5,
MR16 - 7W - LED,Exi0000186,MR16,MR16,LED,Hours Per Year,0.007,0,5,5,
MR16 - 8W - LED,Exi0000187,MR16,MR16,LED,Hours Per Year,0.008,0,5,5,
MR16 - 9W - LED,Exi0000188,MR16,MR16,LED,Hours Per Year,0.009,0,5,5,
E27 - 23W - CFL,Exi00000190,E27,E27 - CFL,CFL,Hours Per Year,0.023,0,5,5,
Existing - Ceiling,Exi00000191,Showerhead,Ceiling,Showerhead,Number Per Day,,,,,
Existing - Wall,Exi00000192,Showerhead,Wall,Showerhead,Number Per Day,,,,,
G12 - 150W - Spot,Exi0000035,G12,Tracklight,MH,Hours Per Year,0.15,0,5,5,1000
G12 - 70W - Spot,Exi0000036,G12,Tracklight,MH,Hours Per Year,0.07,0,5,5,1000
G12 - 35W - Spot,Exi0000037,G12,Tracklight,MH,Hours Per Year,0.035,0,5,5,1000
E14 - 40W - R50,Exi00000193,E14,R,Incandescent,Hours Per Year,0.04,0,5,5,
GU10 - 13W - CFL,Exi00000194,GU10,GU10,CFL,Hours Per Year,0.013,0,5,5,
