Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
E14 - 25W - Golf Ball,Exi0000001,E14,"E14,20 - 42w",Incandescent,Hours Per Year,0.025,0,5,5,1000
E14 - 35W - Golf Ball,Exi0000002,E14,"E14,20 - 42w",Incandescent,Hours Per Year,0.035,0,5,5,1000
E14 - 60W - Golf Ball,Exi0000003,E14,"E14,60 - 100w",Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 11W - CFL,Exi0000004,B22,B22 - CFL,CFL,Hours Per Year,0.011,0,5,5,6000
B22 - 14W - CFL,Exi0000005,B22,B22 - CFL,CFL,Hours Per Year,0.014,0,5,5,6000
B22 - 15W - CFL,Exi0000006,B22,B22 - CFL,CFL,Hours Per Year,0.015,0,5,5,6000
Flood MH - E40 250W,Exi0000007,Floodlight,HID Floodlight,MH,Hours Per Year,0.25,0,5,5,10000
Flood MH - 150W,Exi0000008,Floodlight,HID Floodlight,MH,Hours Per Year,0.15,0,5,5,10000
Flood MH - 70W,Exi0000009,Floodlight,HID Floodlight,MH,Hours Per Year,0.07,0,5,5,10000
Flood MV - E40 250W,Exi0000010,Floodlight,HID Floodlight,MV,Hours Per Year,0.25,0,5,5,10000
Flood MV - E27 125W,Exi0000011,Floodlight,HID Floodlight,MV,Hours Per Year,0.15,0,5,5,10000
Flood MV - E27 80W,Exi0000012,Floodlight,HID Floodlight,MV,Hours Per Year,0.07,0,5,5,10000
Flood HPS - E40 250W,Exi0000013,Floodlight,HID Floodlight,HPS,Hours Per Year,0.25,0,5,5,23000
Flood HPS - E40 150W,Exi0000014,Floodlight,HID Floodlight,HPS,Hours Per Year,0.15,0,5,5,23000
Flood HPS - E27 70W,Exi0000015,Floodlight,HID Floodlight,HPS,Hours Per Year,0.07,0,5,5,23000
Flood MH - E40 1000W,Exi0000016,Floodlight,HID Floodlight,MH,Hours Per Year,1,0,5,5,10000
Flood MH - E40 400W,Exi0000017,Floodlight,HID Floodlight,MH,Hours Per Year,0.4,0,5,5,10000
Flood MV - E40 1000W,Exi0000018,Floodlight,HID Floodlight,MV,Hours Per Year,1,0,5,5,10000
Flood MV - E40 400W,Exi0000019,Floodlight,HID Floodlight,MV,Hours Per Year,0.4,0,5,5,10000
Flood HPS - E40 1000W,Exi0000020,Floodlight,HID Floodlight,HPS,Hours Per Year,1,0,5,5,23000
Flood HPS - E40 400W,Exi0000021,Floodlight,HID Floodlight,HPS,Hours Per Year,0.4,0,5,5,23000
Halogen 50W MR16,Exi0000022,MR16,MR16,Halogen,Hours Per Year,0.05,0,5,5,1000
Halogen 35W MR16,Exi0000023,MR16,MR16,Halogen,Hours Per Year,0.035,0,5,5,1000
Halogen 50W GU10,Exi0000024,GU10,GU10,Halogen,Hours Per Year,0.05,0,5,5,1000
Halogen 35W GU10,Exi0000025,GU10,GU10,Halogen,Hours Per Year,0.035,0,5,5,1000
B22 - 40W - GLS,Exi0000026,B22,"B22,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,1000
E27 - 60W - Candle,Exi0000027,E27,"E27,60 - 100w",Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 60W - Candle,Exi0000028,B22,"B22,60 - 100w",Incandescent,Hours Per Year,0.06,0,5,5,1000
E14 - 60W - Candle,Exi0000029,E14,"E14,60 - 100w",Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 40W - Candle,Exi0000030,E27,"E27,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,1000
B22 - 40W - Candle,Exi0000031,B22,"B22,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,1000
E14 - 40W - Candle,Exi0000032,E14,"E14,40 - 60w",Incandescent,Hours Per Year,0.04,0,5,5,1000
E27 - 60W - R63 Reflect,Exi0000033,E27,"E27,60 - 100w",Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 100W - R80 Reflect,Exi0000034,E27,"E27,60 - 100w",Incandescent,Hours Per Year,0.072,0,5,5,1000
G12 - 150W - Spot,Exi0000035,G12,Metal Halide,Metal Halide,Hours Per Year,0.15,0,5,5,1000
G12 - 70W - Spot,Exi0000036,G12,Metal Halide,Metal Halide,Hours Per Year,0.07,0,5,5,1000
G12 - 35W - Spot,Exi0000037,G12,Metal Halide,Metal Halide,Hours Per Year,0.035,0,5,5,1000
T8 - 1 X 18W - 2 foot,Exi0000038,T8,T8 1 X 2 foot,Fluorescent,Hours Per Year,0.018,0,5,5,8000
T8 - 2 X 18W - 2 foot,Exi0000039,T8,T8 2 X 2 foot,Fluorescent,Hours Per Year,0.036,0,5,5,8000
T8 - 1 X 36W - 4 foot,Exi0000040,T8,T8 1 X 4 foot,Fluorescent,Hours Per Year,0.036,0,5,5,8000
T8 - 2 X 36W - 4 foot,Exi0000041,T8,T8 2 X 4 foot,Fluorescent,Hours Per Year,0.072,0,5,5,8000
T12 - 2 X 40W - 4 foot,Exi0000042,T12,T12 2 X 4 foot,Fluorescent,Hours Per Year,0.08,0,5,5,6000
T12 - 2 X 65W - 5 foot,Exi0000043,T12,T12 2 X 5 foot,Fluorescent,Hours Per Year,0.13,0,5,5,6000
T12 - 2 X 75W - 8 foot,Exi0000044,T12,T12  X 8 foot,Fluorescent,Hours Per Year,0.15,0,5,5,6000
GU10 - 2 X 50W - Recessed,Exi0000045,GU10,Downlighter,Halogen,Hours Per Year,0.1,0,5,5,1000
GU10 - 1 X 50W - Recessed,Exi0000046,GU10,Downlighter,Halogen,Hours Per Year,0.05,0,5,5,1000
PL 2 Pin - 1 X 7W,Exi0000047,2 Pin,PL 2 pin - 1 X,PL,Hours Per Year,0.007,0,5,5,6000
PL 2 Pin - 1 X 9W,Exi0000048,2 Pin,PL 2 pin - 1 X,PL,Hours Per Year,0.009,0,5,5,6000
PL 2 Pin - 1 X 18W,Exi0000049,2 Pin,PL 2 pin - 1 X,PL,Hours Per Year,0.018,0,5,5,6000
PL 2 Pin - 1 X 26W,Exi0000050,2 Pin,PL 2 pin - 1 X,PL,Hours Per Year,0.026,0,5,5,6000
