Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
B22 - 100W,Exi0000001,B22,B22-GLS,Incandescent,Hours Per Year,0.1,0,,,
B22 - 25W - Golf Ball,Exi0000002,B22,B22-GLS,Incandescent,Hours Per Year,0.025,0,,,
B22 - 35W - Golf Ball,Exi0000003,B22,B22-GLS,Incandescent,Hours Per Year,0.035,0,,,
B22 - 60W,Exi0000004,B22,B22-GLS,Incandescent,Hours Per Year,0.06,0,,,
B22 - 75W,Exi0000005,B22,B22-GLS,Incandescent,Hours Per Year,0.075,0,,,
B22 - 11W - CFL,Exi0000025,CFL,B22-CFL,CFL,Hours Per Year,0.011,0,,,
B22 - 14W - CFL,Exi0000026,CFL,B22-CFL,CFL,Hours Per Year,0.014,0,,,
B22 - 15W - CFL,Exi0000027,CFL,B22-CFL,CFL,Hours Per Year,0.015,0,,,
B22 - 18W - CFL,Exi0000028,CFL,B22-CFL,CFL,Hours Per Year,0.018,0,,,
B22 - 20W - CFL,Exi0000029,CFL,B22-CFL,CFL,Hours Per Year,0.02,0,,,
E27 - 11W - CFL,Exi0000030,CFL,E27-CFL,CFL,Hours Per Year,0.011,0,,,
E27 - 14W - CFL,Exi0000031,CFL,E27-CFL,CFL,Hours Per Year,0.014,0,,,
E27 - 15W - CFL,Exi0000032,CFL,B22-CFL,CFL,Hours Per Year,0.015,0,,,
E27 - 18W - CFL,Exi0000033,CFL,B22-CFL,CFL,Hours Per Year,0.018,0,,,
E27 - 20W - CFL,Exi0000034,CFL,B22-CFL,CFL,Hours Per Year,0.02,0,,,
E14 - 25W - Candle,Exi0000006,E14,E14,Incandescent,Hours Per Year,0.025,0,,,
E14 - 15W - T45 - Mini-Spot,Exi0000007,E14,E14,Incandescent,Hours Per Year,0.015,0,,,
E14 - 18W - R50 - Mini-Spot,Exi0000008,E14,Mini Spot,Incandescent,Hours Per Year,0.018,0,,,
E14 - 25W - Golf Ball,Exi0000009,E14,Golf Ball,Incandescent,Hours Per Year,0.025,0,,,
E14 - 35W - Candle,Exi0000010,E14,E14,Incandescent,Hours Per Year,0.035,0,,,
E14 - 35W - Golf Ball,Exi0000011,E14,E14,Incandescent,Hours Per Year,0.035,0,,,
E14 - 60W,Exi0000012,E14,E14,Incandescent,Hours Per Year,0.06,0,,,
E27 - 60W,Exi0000013,E27,E27-GLS,Incandescent,Hours Per Year,0.06,0,,,
E27 - 75W,Exi0000014,E27,E27-GLS,Incandescent,Hours Per Year,0.075,0,,,
E27 - 100W,Exi0000015,E27,E27-GLS,Incandescent,Hours Per Year,0.1,0,,,
E27 - 25W - Golf Ball,Exi0000016,E27,Golf Ball,Incandescent,Hours Per Year,0.025,0,,,
E27 - 30W - R63 - Mini-Spot,Exi0000017,E27,Mini Spot,Incandescent,Hours Per Year,0.03,0,,,
E27 - 35W - Golf Ball,Exi0000018,E27,Golf Ball,Incandescent,Hours Per Year,0.035,0,,,
HPS - 150W - Floodlight,Exi0000035,Floodlight,Floodlight,HPS,Hours Per Year,0.15,0,,,
HPS - 250W - Floodlight,Exi0000036,Floodlight,Floodlight,HPS,Hours Per Year,0.25,0,,,
HPS - 400W - Floodlight,Exi0000037,Floodlight,Floodlight,HPS,Hours Per Year,0.4,0,,,
HPS - 1000W - Floodlight,Exi0000038,Floodlight,Floodlight,HPS,Hours Per Year,1,0,,,
MH - 125W - Floodlight,Exi0000039,Floodlight,Floodlight,MH,Hours Per Year,0.125,0,,,
MH - 150W - Floodlight,Exi0000040,Floodlight,Floodlight,MH,Hours Per Year,0.15,0,,,
MH - 200W - Floodlight,Exi0000041,Floodlight,Floodlight,MH,Hours Per Year,0.2,0,,,
MH - 250W - Floodlight,Exi0000042,Floodlight,Floodlight,MH,Hours Per Year,0.25,0,,,
MH - 400W - Floodlight,Exi0000043,Floodlight,Floodlight,MH,Hours Per Year,0.4,0,,,
MH - 800W - Floodlight,Exi0000044,Floodlight,Floodlight,MH,Hours Per Year,0.8,0,,,
MV - 125W - Floodlight,Exi0000045,Floodlight,Floodlight,MV,Hours Per Year,0.125,0,,,
MV - 160W - Floodlight,Exi0000046,Floodlight,Floodlight,MV,Hours Per Year,0.16,0,,,
MV - 175W - Floodlight,Exi0000047,Floodlight,Floodlight,MV,Hours Per Year,0.175,0,,,
MV - 250W - Floodlight,Exi0000048,Floodlight,Floodlight,MV,Hours Per Year,0.25,0,,,
MV - 400W - Floodlight,Exi0000049,Floodlight,Floodlight,MV,Hours Per Year,0.4,0,,,
MV - 700W - Floodlight,Exi0000050,Floodlight,Floodlight,MV,Hours Per Year,0.7,0,,,
MV - 1000W - Floodlight,Exi0000051,Floodlight,Floodlight,MV,Hours Per Year,1,0,,,
Halogen - 25W - Floodlight,Exi0000059,Floodlight,Floodlight,Halogen,Hours Per Year,0.025,0,,,
Halogen - 30W - Floodlight,Exi0000060,Floodlight,Floodlight,Halogen,Hours Per Year,0.03,0,,,
Halogen - 50W - Floodlight,Exi0000061,Floodlight,Floodlight,Halogen,Hours Per Year,0.05,0,,,
Halogen - 70W - Floodlight,Exi0000062,Floodlight,Floodlight,Halogen,Hours Per Year,0.07,0,,,
Halogen - 100W - Floodlight,Exi0000063,Floodlight,Floodlight,Halogen,Hours Per Year,0.1,0,,,
Halogen - 110W - Floodlight,Exi0000064,Floodlight,Floodlight,Halogen,Hours Per Year,0.11,0,,,
Halogen - 125W - Floodlight,Exi0000065,Floodlight,Floodlight,Halogen,Hours Per Year,0.125,0,,,
Halogen - 150W - Floodlight,Exi0000066,Floodlight,Floodlight,Halogen,Hours Per Year,0.15,0,,,
Halogen - 200W - Floodlight,Exi0000067,Floodlight,Floodlight,Halogen,Hours Per Year,0.2,0,,,
Halogen - 250W - Floodlight,Exi0000068,Floodlight,Floodlight,Halogen,Hours Per Year,0.25,0,,,
CFL - 85W - Floodlight,Exi0000069,Floodlight,Floodlight,CFL,Hours Per Year,0.085,0,,,
CFL - 100W - Floodlight,Exi0000070,Floodlight,Floodlight,CFL,Hours Per Year,0.1,0,,,
CFL - 105W - Floodlight,Exi0000071,Floodlight,Floodlight,CFL,Hours Per Year,0.105,0,,,
CFL - 125W - Floodlight,Exi0000072,Floodlight,Floodlight,CFL,Hours Per Year,0.125,0,,,
CFL - 150W - Floodlight,Exi0000073,Floodlight,Floodlight,CFL,Hours Per Year,0.15,0,,,
CFL - 175W - Floodlight,Exi0000074,Floodlight,Floodlight,CFL,Hours Per Year,0.175,0,,,
CFL - 180W - Floodlight,Exi0000075,Floodlight,Floodlight,CFL,Hours Per Year,0.18,0,,,
CFL - 200W - Floodlight,Exi0000076,Floodlight,Floodlight,CFL,Hours Per Year,0.2,0,,,
CFL - 400W - Floodlight,Exi0000077,Floodlight,Floodlight,CFL,Hours Per Year,0.4,0,,,
Existing - Flowregulator,Exi0000024,Flowregulator,Flowregulator,Flowregulator,Number Per Day,,,,,
GU10 - 20W - 230V,Exi0000052,GU10,GU10,Halogen,Hours Per Year,0.02,0,,,
GU10 - 35W - 230V,Exi0000053,GU10,GU10,Halogen,Hours Per Year,0.035,0,,,
