Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
GU10 - 42W - 230V,Exi0000054,GU10,GU10,Halogen,Hours Per Year,0.042,0,,,
GU10 - 50W - 230V,Exi0000055,GU10,GU10,Halogen,Hours Per Year,0.05,0,,,
Existing - Handshower,Exi0000023,Handshower,Handshower,Handshower,Number Per Day,,,,,
MR16 - 20W - 12V,Exi0000056,MR16,MR16,Halogen,Hours Per Year,0.02,0,,,
MR16 - 35W - 12V,Exi0000057,MR16,MR16,Halogen,Hours Per Year,0.035,0,,,
MR16 - 50W - 12V,Exi0000058,MR16,MR16,Halogen,Hours Per Year,0.05,0,,,
Existing - Ceiling,Exi0000021,Showerhead,Ceiling,Showerhead,Number Per Day,,,,,
Existing - Wall,Exi0000022,Showerhead,Wall,Showerhead,Number Per Day,,,,,
PAR 30 - 35W,Exi0000078,Spotlight,Spotlight,Halogen,Hours Per Year,0.035,0,,,
PAR 30 - 50W,Exi0000079,Spotlight,Spotlight,Halogen,Hours Per Year,0.05,0,,,
PAR 38 - 65W,Exi0000080,Spotlight,Spotlight,Halogen,Hours Per Year,0.065,0,,,
PAR 38 - 75W,Exi0000081,Spotlight,Spotlight,Halogen,Hours Per Year,0.075,0,,,
PAR 38 - 120W,Exi0000082,Spotlight,Spotlight,Halogen,Hours Per Year,0.12,0,,,
PAR 38 - 150W,Exi0000083,Spotlight,Spotlight,Halogen,Hours Per Year,0.15,0,,,
PL - 18W - CFL,Exi0000084,Recessed,Recessed,CFL,Hours Per Year,0.018,0,,,
PL - 24W - CFL,Exi0000085,Recessed,Recessed,CFL,Hours Per Year,0.024,0,,,
PL - 36W - CFL,Exi0000086,Recessed,Recessed,CFL,Hours Per Year,0.036,0,,,
PL - 40W - CFL,Exi0000087,Recessed,Recessed,CFL,Hours Per Year,0.04,0,,,
PL - 50W - CFL,Exi0000088,Recessed,Recessed,CFL,Hours Per Year,0.05,0,,,
PL - 55W - CFL,Exi0000089,Recessed,Recessed,CFL,Hours Per Year,0.055,0,,,
E27 - 30W - R50 - Mini-Spot,Exi0000090,Spotlight,Spotlight,Incandescent,Hours Per Year,0.03,0,,,
E14 - 60W - Candle,Exi0000091,E14,Candle Tip,Incandescent,Hours Per Year,0.06,0,,,
E14 - 60W - Golf Ball,Exi0000092,E14,Golf Ball,Incandescent,Hours Per Year,0.06,0,,,
E27 - 60W - Golf Ball,Exi0000093,E27,Golf Ball,Incandescent,Hours Per Year,0.06,0,,,
B22 - 60W - Golf Ball,Exi0000094,B22,Golf Ball,Incandescent,Hours Per Year,0.06,0,,,
