Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
E14 - 25W - Golf Ball,Exi0000001,E14,Golf Ball,Incandescent,Hours Per Year,0.025,0,5,5,1000
E14 - 35W - Golf Ball,Exi0000002,E14,Golf Ball,Incandescent,Hours Per Year,0.035,0,5,5,1000
E14 - 60W - Golf Ball,Exi0000003,E14,Golf Ball,Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 60W - Spot,Exi0000004,B22,Incandescent,Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 75W - Spot,Exi0000005,B22,Incandescent,Incandescent,Hours Per Year,0.075,0,5,5,1000
B22 - 11W - CFL,Exi0000006,B22,Energy Saver,CFL,Hours Per Year,0.011,0,5,5,6000
B22 - 14W - CFL,Exi0000007,B22,Energy Saver,CFL,Hours Per Year,0.014,0,5,5,6000
B22 - 15W - CFL,Exi0000008,B22,Energy Saver,CFL,Hours Per Year,0.015,0,5,5,6000
Flood MH - E40 250W,Exi0000009,Floodlight,HID Floodlight,MH,Hours Per Year,0.25,0,5,5,10000
Flood MH - 150W,Exi0000010,Floodlight,HID Floodlight,MH,Hours Per Year,0.15,0,5,5,10000
Flood MH - 70W,Exi0000011,Floodlight,HID Floodlight,MH,Hours Per Year,0.07,0,5,5,10000
Flood MV - E40 250W,Exi0000012,Floodlight,HID Floodlight,MV,Hours Per Year,0.25,0,5,5,10000
Flood MV - E27 125W,Exi0000013,Floodlight,HID Floodlight,MV,Hours Per Year,0.15,0,5,5,10000
Flood MV - E27 80W,Exi0000014,Floodlight,HID Floodlight,MV,Hours Per Year,0.07,0,5,5,10000
Flood HPS - E40 250W,Exi0000015,Floodlight,HID Floodlight,HPS,Hours Per Year,0.25,0,5,5,23000
Flood HPS - E40 150W,Exi0000016,Floodlight,HID Floodlight,HPS,Hours Per Year,0.15,0,5,5,23000
Flood HPS - E27 70W,Exi0000017,Floodlight,HID Floodlight,HPS,Hours Per Year,0.07,0,5,5,23000
Flood MH - E40 1000W,Exi0000019,Floodlight,HID Floodlight,MH,Hours Per Year,1,0,5,5,10000
Flood MH - E40 400W,Exi0000020,Floodlight,HID Floodlight,MH,Hours Per Year,0.4,0,5,5,10000
Flood MV - E40 1000W,Exi0000021,Floodlight,HID Floodlight,MV,Hours Per Year,1,0,5,5,10000
Flood MV - E40 400W,Exi0000022,Floodlight,HID Floodlight,MV,Hours Per Year,0.4,0,5,5,10000
Flood HPS - E40 1000W,Exi0000023,Floodlight,HID Floodlight,HPS,Hours Per Year,1,0,5,5,23000
Flood HPS - E40 400W,Exi0000025,Floodlight,HID Floodlight,HPS,Hours Per Year,0.4,0,5,5,23000
Halogen 50W MR16,Exi0000026,MR16,Halogen,Halogen,Hours Per Year,0.05,0,5,5,1000
Halogen 35W MR16,Exi0000027,MR16,Halogen,Halogen,Hours Per Year,0.035,0,5,5,1000
Halogen 50W GU10,Exi0000028,GU10,Halogen,Halogen,Hours Per Year,0.05,0,5,5,1000
Halogen 35W GU10,Exi0000029,GU10,Halogen,Halogen,Hours Per Year,0.035,0,5,5,1000
B22 - 40W - GLS,Exi0000030,B22,Incandescent GLS,Incandescent,Hours Per Year,0.04,0,5,5,1000
E27 - 60W - Candle,Exi0000031,E27,Incandescent ,Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 60W - Candle,Exi0000032,B22,Incandescent,Incandescent,Hours Per Year,0.06,0,5,5,1000
E14 - 60W - Candle,Exi0000033,E14,Incandescent,Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 40W - Candle,Exi0000034,E27,Incandescent Candle ,Incandescent,Hours Per Year,0.04,0,5,5,1000
B22 - 40W - Candle,Exi0000035,B22,Incandescent Candle ,Incandescent,Hours Per Year,0.04,0,5,5,1000
E14 - 40W - Candle,Exi0000036,E14,Incandescent Candle ,Incandescent,Hours Per Year,0.04,0,5,5,1000
E27 - 60W - R63 Reflect,Exi0000037,E27,Incandescent,Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 100W - R80 Reflect,Exi0000038,E27,Incandescent,Incandescent,Hours Per Year,0.072,0,5,5,1000
E27 - 150W,Exi0000039,E27,Incandescent GLS,Incandescent,Hours Per Year,0.15,0,5,5,1000
E27 - 45W,Exi0000040,E27,Energy Saver,CFL,Hours Per Year,0.045,0,5,5,6000
G12 - 150W - Spot,Exi0000041,G12,Metal Halide,Metal Halide,Hours Per Year,0.15,0,5,5,1000
G12 - 70W - Spot,Exi0000042,G12,Metal Halide,Metal Halide,Hours Per Year,0.07,0,5,5,1000
G12 - 35W - Spot,Exi0000043,G12,Metal Halide,Metal Halide,Hours Per Year,0.035,0,5,5,1000
T8 - 1 X 18W - 2 foot,Exi0000044,T8,Fluorescent,Fluorescent,Hours Per Year,0.018,0,5,5,8000
T8 - 2 X 18W - 2 foot,Exi0000045,T8,Fluorescent,Fluorescent,Hours Per Year,0.036,0,5,5,8000
T8 - 1 X 36W - 4 foot,Exi0000046,T8,Fluorescent,Fluorescent,Hours Per Year,0.036,0,5,5,8000
T8 - 2 X 36W - 4 foot,Exi0000047,T8,Fluorescent,Fluorescent,Hours Per Year,0.072,0,5,5,8000
T12 - 2 X 40W - 4 foot,Exi0000048,T12,Fluorescent,Fluorescent,Hours Per Year,0.08,0,5,5,6000
