Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
E27 - 11W - CFL,Exi0000030,CFL,E27-CFL,CFL,Hours Per Year,0.011,0,,,
E27 - 14W - CFL,Exi0000031,CFL,E27-CFL,CFL,Hours Per Year,0.014,0,,,
E27 - 15W - CFL,Exi0000032,CFL,E27-CFL,CFL,Hours Per Year,0.015,0,,,
E14 - 25W - Candle,Exi0000006,E14,E14-Candle,Incandescent,Hours Per Year,0.025,0,,,
E14 - 25W - Golf Ball,Exi0000009,E14,E14-Golf Ball,Incandescent,Hours Per Year,0.025,0,,,
E14 - 35W - Candle,Exi0000010,E14,E14-Candle,Incandescent,Hours Per Year,0.035,0,,,
E14 - 35W - Golf Ball,Exi0000011,E14,E14-Golf Ball,Incandescent,Hours Per Year,0.035,0,,,
E27 - 60W,Exi0000013,E27,E27,Incandescent,Hours Per Year,0.06,0,,,
E27 - 75W,Exi0000014,E27,E27,Incandescent,Hours Per Year,0.075,0,,,
E27 - 25W - Golf Ball,Exi0000016,E27,E27-Golf Ball,Incandescent,Hours Per Year,0.025,0,,,
E27 - 35W - Golf Ball,Exi0000018,E27,E27-Golf Ball,Incandescent,Hours Per Year,0.035,0,,,
Existing - Flowregulator,Exi0000024,Flowregulator,Flowregulator,Flowregulator,Number Per Day,,,,,
Existing - Ceiling,Exi0000021,Showerhead,Ceiling,Showerhead,Number Per Day,,,,,
Existing - Wall,Exi0000022,Showerhead,Wall,Showerhead,Number Per Day,,,,,
