Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
E14 - 25W - Golf Ball,Exi0000007,E14,Golf Ball,Incandescent,Hours Per Year,0.025,0,5,5,1000
E14 - 35W - Golf Ball,Exi0000008,E14,Golf Ball,Incandescent,Hours Per Year,0.035,0,5,5,1000
E14 - 60W - Golf Ball,Exi0000009,E14,Golf Ball,Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 60W - Spot,Exi0000010,B22,Incandescent,Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 75W - Spot,Exi0000011,B22,Incandescent,Incandescent,Hours Per Year,0.075,0,5,5,1000
B22 - 100W - Spot,Exi0000012,B22,Incandescent,Incandescent,Hours Per Year,0.1,0,5,5,1000
B22 - 11W - CFL,Exi0000013,B22,Energy Saver,CFL,Hours Per Year,0.011,0,5,5,6000
B22 - 14W - CFL,Exi0000014,B22,Energy Saver,CFL,Hours Per Year,0.014,0,5,5,6000
B22 - 15W - CFL,Exi0000015,B22,Energy Saver,CFL,Hours Per Year,0.015,0,5,5,6000
Flood MH - E40 250W,Exi0000016,Floodlight,HID Floodlight,MH,Hours Per Year,0.25,0,5,5,10000
Flood MH - 150W,Exi0000017,Floodlight,HID Floodlight,MH,Hours Per Year,0.15,0,5,5,10000
Flood MH - 70W,Exi0000018,Floodlight,HID Floodlight,MH,Hours Per Year,0.07,0,5,5,10000
Flood MV - E40 250W,Exi0000019,Floodlight,HID Floodlight,MV,Hours Per Year,0.25,0,5,5,10000
Flood MV - E27 125W,Exi0000020,Floodlight,HID Floodlight,MV,Hours Per Year,0.15,0,5,5,10000
Flood MV - E27 80W,Exi0000021,Floodlight,HID Floodlight,MV,Hours Per Year,0.07,0,5,5,10000
Flood HPS - E40 250W,Exi0000022,Floodlight,HID Floodlight,HPS,Hours Per Year,0.25,0,5,5,23000
Flood HPS - E40 150W,Exi0000023,Floodlight,HID Floodlight,HPS,Hours Per Year,0.15,0,5,5,23000
Flood HPS - E27 70W,Exi0000024,Floodlight,HID Floodlight,HPS,Hours Per Year,0.07,0,5,5,23000
Flood MH - E40 250W,Exi0000025,Floodlight,HID Floodlight,MH,Hours Per Year,0.5,0,5,5,10000
Flood MH - E40 1000W,Exi0000026,Floodlight,HID Floodlight,MH,Hours Per Year,1,0,5,5,10000
Flood MH - E40 400W,Exi0000027,Floodlight,HID Floodlight,MH,Hours Per Year,0.4,0,5,5,10000
Flood MV - E40 1000W,Exi0000028,Floodlight,HID Floodlight,MV,Hours Per Year,1,0,5,5,10000
Flood MV - E40 400W,Exi0000030,Floodlight,HID Floodlight,MV,Hours Per Year,0.4,0,5,5,10000
Flood HPS - E40 1000W,Exi0000031,Floodlight,HID Floodlight,HPS,Hours Per Year,1,0,5,5,23000
Flood HPS - E40 250W,Exi0000032,Floodlight,HID Floodlight,HPS,Hours Per Year,0.5,0,5,5,23000
Flood HPS - E40 400W,Exi0000033,Floodlight,HID Floodlight,HPS,Hours Per Year,0.4,0,5,5,23000
Halogen 50W MR16,Exi0000034,MR16,Halogen,Halogen,Hours Per Year,0.05,0,5,5,1000
Halogen 35W MR16,Exi0000035,MR16,Halogen,Halogen,Hours Per Year,0.035,0,5,5,1000
Halogen 50W GU10,Exi0000036,GU10,Halogen,Halogen,Hours Per Year,0.05,0,5,5,1000
Halogen 35W GU10,Exi0000037,GU10,Halogen,Halogen,Hours Per Year,0.035,0,5,5,1000
B22 - 60W - GLS,Exi0000039,B22,Incandescent GLS,Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 40W - GLS,Exi0000040,E27,Incandescent GLS,Incandescent,Hours Per Year,0.04,0,5,5,1000
B22 - 40W - GLS,Exi0000041,B22,Incandescent GLS,Incandescent,Hours Per Year,0.04,0,5,5,1000
E27 - 60W - Candle,Exi0000042,E27,Incandescent Candle ,Incandescent,Hours Per Year,0.06,0,5,5,1000
B22 - 60W - Candle,Exi0000043,B22,Incandescent Candle ,Incandescent,Hours Per Year,0.06,0,5,5,1000
E14 - 60W - Candle,Exi0000044,E14,Incandescent Candle ,Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 40W - Candle,Exi0000045,E27,Incandescent Candle ,Incandescent,Hours Per Year,0.04,0,5,5,1000
B22 - 40W - Candle,Exi0000046,B22,Incandescent Candle ,Incandescent,Hours Per Year,0.04,0,5,5,1000
E14 - 40W - Candle,Exi0000047,E14,Incandescent Candle ,Incandescent,Hours Per Year,0.04,0,5,5,1000
E14 - 40W - R50 Reflect,Exi0000048,E14,R50 Incandescent,Incandescent,Hours Per Year,0.04,0,5,5,1000
E14 - 60W - R50 Reflect,Exi0000049,E14,R50 Incandescent,Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 60W - R63 Reflect,Exi0000050,E27,R63 Incandescent,Incandescent,Hours Per Year,0.06,0,5,5,1000
E27 - 100W - R80 Reflect,Exi0000051,E27,R80 Incandescent,Incandescent,Hours Per Year,0.072,0,5,5,1000
E27 - 150W,Exi0000052,E27,Incandescent GLS,Incandescent,Hours Per Year,0.15,0,5,5,1000
E27 - 100W,Exi0000053,E27,Incandescent GLS,Incandescent,Hours Per Year,0.07,0,5,5,1000
E27 - 60W,Exi0000054,E27,Incandescent GLS,Incandescent,Hours Per Year,0.125,0,5,5,1000
E27 - 40W,Exi0000055,E27,Incandescent GLS,Incandescent,Hours Per Year,0.08,0,5,5,1000
E27 - 45W,Exi0000057,E27,Energy Saver,CFL,Hours Per Year,0.045,0,5,5,6000
G12 - 150W - Spot,Exi0000058,G12,Metal Halide,Metal Halide,Hours Per Year,0.15,0,5,5,1000
G12 - 70W - Spot,Exi0000059,G12,Metal Halide,Metal Halide,Hours Per Year,0.07,0,5,5,1000
G12 - 35W - Spot,Exi0000060,G12,Metal Halide,Metal Halide,Hours Per Year,0.035,0,5,5,1000
T8 - 1 X 18W - 2 foot,Exi0000061,T8,Fluorescent,Fluorescent,Hours Per Year,0.018,0,5,5,8000
T8 - 2 X 18W - 2 foot,Exi0000062,T8,Fluorescent,Fluorescent,Hours Per Year,0.036,0,5,5,8000
T8 - 1 X 36W - 4 foot,Exi0000063,T8,Fluorescent,Fluorescent,Hours Per Year,0.036,0,5,5,8000
T8 - 2 X 36W - 4 foot,Exi0000064,T8,Fluorescent,Fluorescent,Hours Per Year,0.072,0,5,5,8000
T12 - 2 X 40W - 4 foot,Exi0000065,T12,Fluorescent,Fluorescent,Hours Per Year,0.08,0,5,5,6000
T12 - 2 X 65W - 5 foot,Exi0000066,T12,Fluorescent,Fluorescent,Hours Per Year,0.13,0,5,5,6000
T12 - 2 X 75W - 8 foot,Exi0000067,T12,Fluorescent,Fluorescent,Hours Per Year,0.15,0,5,5,6000
GU10 - 2 X 50W - Recessed,Exi0000068,GU10,Downlighter,Halogen,Hours Per Year,0.1,0,5,5,1000
GU10 - 1 X 50W - Recessed,Exi0000069,GU10,Downlighter,Halogen,Hours Per Year,0.05,0,5,5,1000
PL 2 Pin - 1 X 7W,Exi0000070,2 Pin,PL,PL,Hours Per Year,0.007,0,5,5,6000
PL 2 Pin - 1 X 9W,Exi0000071,2 Pin,PL,PL,Hours Per Year,0.009,0,5,5,6000
PL 2 Pin - 1 X 18W,Exi0000072,2 Pin,PL,PL,Hours Per Year,0.018,0,5,5,6000
PL 2 Pin - 1 X 26W,Exi0000073,2 Pin,PL,PL,Hours Per Year,0.026,0,5,5,6000
PL 4 Pin - 1 X 13W,Exi0000074,4 Pin,PL,PL,Hours Per Year,0.013,0,5,5,6000
PL 4 Pin - 1 X 18W,Exi0000075,4 Pin,PL,PL,Hours Per Year,0.018,0,5,5,6000
PL 4 Pin - 1 X 26W,Exi0000076,4 Pin,PL,PL,Hours Per Year,0.026,0,5,5,6000
T8 - 3 X 18W - 2 foot,Exi0000078,T8,Fluorescent,Fluorescent,Hours Per Year,0.054,0,5,5,8000
PL 4 Pin - 2 X 55W,Exi0000082,4 Pin,PL,PL,Hours Per Year,0.11,0,5,5,10000
PL 4 Pin - 2 X 36W,Exi0000083,4 Pin,PL,PL,Hours Per Year,0.072,0,5,5,10000
PL 4 Pin - 2 X 24W,Exi0000084,4 Pin,PL,PL,Hours Per Year,0.048,0,5,5,10000
PL 4 Pin - 2 X 11W,Exi0000085,4 Pin,PL,PL,Hours Per Year,0.022,0,5,5,6000
PL 2 Pin - 2 X 11W,Exi0000086,2 Pin,PL,PL,Hours Per Year,0.022,0,5,5,6000
PL 2 Pin - 2 X 9W,Exi0000087,2 Pin,PL,PL,Hours Per Year,0.018,0,5,5,6000
