Product,Code,Product Type,Description,Table,Related To,Existing KWh,Existing Litres,Crush Charge,Price Now,Lifetime
B22 - 100W - Incan,Exi0000001,B22,B22 : GLS,Incandescent,Hours Per Year,0.1,0,,,
B22 - 60W - Incan,Exi0000004,B22,B22 : GLS,Incandescent,Hours Per Year,0.06,0,,,
B22 - 75W - Incan,Exi0000005,B22,B22 : GLS,Incandescent,Hours Per Year,0.075,0,,,
B22 - 11W - CFL,Exi0000025,B22,B22 : CFL,CFL,Hours Per Year,0.011,0,,,
B22 - 14W - CFL,Exi0000026,B22,B22 : CFL,CFL,Hours Per Year,0.014,0,,,
B22 - 15W - CFL,Exi0000027,B22,B22 : CFL,CFL,Hours Per Year,0.015,0,,,
B22 - 18W - CFL,Exi0000028,B22,B22 : CFL,CFL,Hours Per Year,0.018,0,,,
B22 - 20W - CFL,Exi0000029,B22,B22 : CFL,CFL,Hours Per Year,0.02,0,,,
E27 - 11W - CFL,Exi0000030,E27,E27 : CFL,CFL,Hours Per Year,0.011,0,,,
E27 - 14W - CFL,Exi0000031,E27,E27 : CFL,CFL,Hours Per Year,0.014,0,,,
E27 - 15W - CFL,Exi0000032,E27,E27 : CFL,CFL,Hours Per Year,0.015,0,,,
E14 - 25W - Candle,Exi0000006,E14,E14 : Candle,Incandescent,Hours Per Year,0.025,0,,,
E14 - 25W - Golf Ball,Exi0000009,E14,E14 : Golf Ball,Incandescent,Hours Per Year,0.025,0,,,
E14 - 35W - Candle,Exi0000010,E14,E14 : Candle,Incandescent,Hours Per Year,0.035,0,,,
E14 - 35W - Golf Ball,Exi0000011,E14,E14 : Golf Ball,Incandescent,Hours Per Year,0.035,0,,,
E27 - 60W - Incan,Exi0000013,E27,E27 : GLS,Incandescent,Hours Per Year,0.06,0,,,
E27 - 75W - Incan,Exi0000014,E27,E27 : GLS,Incandescent,Hours Per Year,0.075,0,,,
E27 - 100W - Incan,Exi0000015,E27,E27 : GLS,Incandescent,Hours Per Year,0.1,0,,,
Flood - HPS - 150W,Exi0000035,Floodlight,HID Floodlight,HPS,Hours Per Year,0.15,0,,,
Flood - HPS - 250W,Exi0000036,Floodlight,HID Floodlight,HPS,Hours Per Year,0.25,0,,,
Flood - HPS - 400W,Exi0000037,Floodlight,HID Floodlight,HPS,Hours Per Year,0.4,0,,,
Flood - MH - 125W,Exi0000039,Floodlight,HID Floodlight,MH,Hours Per Year,0.125,0,,,
Flood - MH - 150W,Exi0000040,Floodlight,HID Floodlight,MH,Hours Per Year,0.15,0,,,
Flood - MH - 200W,Exi0000041,Floodlight,HID Floodlight,MH,Hours Per Year,0.2,0,,,
Flood - MH - 250W,Exi0000042,Floodlight,HID Floodlight,MH,Hours Per Year,0.25,0,,,
Flood - MH - 400W,Exi0000043,Floodlight,HID Floodlight,MH,Hours Per Year,0.4,0,,,
Flood - MV - 125W,Exi0000045,Floodlight,HID Floodlight,MV,Hours Per Year,0.125,0,,,
Flood - MV - 160W,Exi0000046,Floodlight,HID Floodlight,MV,Hours Per Year,0.16,0,,,
Flood - MV - 175W,Exi0000047,Floodlight,HID Floodlight,MV,Hours Per Year,0.175,0,,,
